trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-193.49039608363793,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-88.5638911644483,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-128.24564804243113,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-203.08428275394834,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,-105.70095522655618,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-99.53398800521241,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-118.1931358265935,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-76.52054307794269,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-95.25598602947434,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-12.246952867138495,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-22.992634764563437,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-170.61389646175445,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,11.015316643385178,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-96.14141861086567,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-28.88179295231098,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-38.8645532836961,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-46.03950851646307,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,16,9.937580323731748,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-58.75177199044636,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,8,8.444819190599727,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-3.365205632282709,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-35.18069292567947,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,9,-6.744066918244094,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,4,-5.085622081337774,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,-7.198534063877651,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-59.82367706000156,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,3,-37.713369350975995,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,-62.1532099712836,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,14.83411543063728,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,-26.336939013997448,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
