trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99750312239746}",25,0,-133.75665669121526,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9950124791926824}",30,0,-169.77212473472375,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9925280548191385}",20,0,-79.59375891720882,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-62.529138687404036,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9875778004938814}",20,0,-80.9924275138299,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9851119396030628}",20,0,-182.06237821151126,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9826522356650733}",20,0,-34.73396229373194,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9801986733067554}",25,8,-92.94617563302207,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9777512371933362}",30,21,1.3254977992183101,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-157.20737950833913,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9728746825534539}",20,0,-148.3963100158871,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-188.50339501125984,"{0: 3, 1: 10, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.968022449831306}",20,0,-42.78268833227642,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-97.33783544005307,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9631944177208217}",20,0,-82.77361222151553,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-69.01636588200492,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.958390465520947}",30,0,-158.44536550975906,"{0: 15, 1: 9, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-106.13096848999906,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9536104731326264}",25,0,-96.20076806141108,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9512294245007139}",20,0,-150.55010437956926,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9488543210558013}",30,0,-186.70954159665635,"{0: 14, 1: 9, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-101.35185470354584,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9441218903864221}",20,0,-103.02433985884548,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-263.0309026556005,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9394130628134759}",20,0,-205.0718148869883,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,13,-46.41041764675532,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.9347277206160275}",30,0,-154.91278416241468,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9323938199059482}",30,17,-83.97167137174996,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.9300657466602784}",20,0,-146.91965505134982,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",1
30,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,6,-77.74017577859554,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9254270243966368}",20,0,-62.87225817947883,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-36.542349716326804,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9208114378568045}",25,0,-132.18630752977177,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9185122844014573}",25,0,-66.00994832115627,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
