trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.67686824934337,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.6961929738294,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.66596000843163,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.334836235345158,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.31289839070831,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.83316840139328,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.57064439109298,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.11307801714462,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.37058709248221,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,12,-14.897329466364535,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.48843880402329,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.243839087986274,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.37338842963538,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.84562097819332,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.95472568653923,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.5007558743538,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.68087176138278,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.31739088841849,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.8198989968172,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.08949796509638,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,4,-45.118435792859835,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,13,-51.76602205241722,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,16,-37.55831324292376,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.88157411368164,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.42276514879043,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.83676686499982,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.92108366189262,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.04542931318092,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,1,-169.11696002510828,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.67184827348421,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
